JC2008-00309->[2003-CVI-242, 2009-FQM-120, 2003-HUM-717]
ACC-368-CVI-2001->[ACC-357-SEJ-2001, 1997-CVI-197, 2003-HUM-685]
2008-HUM-650->[ACC-1046-TEP-2002, 2000-HUM-125, 1997-HUM-137]
REN2002-10390-E->[ACPAI-2003-025, 2003-TIC-155, 2003-HUM-552]
2003-CVI-158->[ACC-384-HUM-2001, 2002-CVI-144, 2010-TEP-137]
2003-CVI-142->[AC-TEP 113, ACC-1113-SEJ-2002, 2002-CVI-252]
2003-CVI-144->[2003-CVI-163, 1997-CVI-102, 2000-CVI-270]
2007-TIC-130->[ACPAI-2003-080, 1997-TIC-124, 2003-HUM-914]
2008-HUM-659->[2006-HUM-317, 2005-HUM-646, 2003-HUM-612]
2010-AGR-225->[ACC-1015-TEP-2002, 1997-HUM-287, 2009-AGR-225]
2008-HUM-656->[2005-HUM-436, 1997-HUM-390, 2003-HUM-555]
1997-FQM-218->[2007-FQM-223, 2009-FQM-326, 2002-FQM-143]
2007-TIC-137->[2008-TIC-178, 2007-SEJ-158, 2000-TIC-178]
2005-RNM-224->[2007-TIC-152, 2010-RNM-116, 2000-FQM-142]
TIN2007-29642-E->[2000-HUM-685, 2002-CVI-239, 2003-CVI-107]
2007-TIC-134->[ACPAI-2003-080, 2011-TIC-150, 2004-TIC-180]
1997-FQM-212->[2008-FQM-121, 2002-FQM-189, 2002-FQM-327]
2002-HUM-631->[2000-HUM-136, 2007-HUM-399, 2007-HUM-552]
1997-CTS-231->[2002-CTS-142, 2009-CTS-516, 2003-CTS-480]
2002-HUM-636->[ACC-393-CVI-2001, 1997-HUM-398, 2006-HUM-568]
2002-HUM-633->[2003-HUM-345, 2004-HUM-399, 2006-HUM-213]
2010-HUM-488->[2002-HUM-241, 1997-HUM-585, 2003-HUM-544]
2010-HUM-486->[2006-HUM-822, 2004-HUM-349, 2008-HUM-692]
2003-CVI-149->[2006-CVI-163, 2005-CVI-211, 2004-CVI-242]
IMU2001-34-01B->[2009-HUM-212, 2011-HUM-252, 2002-HUM-550]
IMU2001-34-01A->[2000-RNM-210, 2008-HUM-465, 2000-SEJ-261]
2009-HUM-849->[2007-HUM-376, 1997-HUM-136, 2003-HUM-753]
2008-SEJ-155->[2002-SEJ-318, 1997-SEJ-270, 2004-SEJ-115]
JC2008-00371->[ACPAI-2003-080, 2005-SEJ-193, 2010-HUM-849]
SAF2007-29418-E->[2005-CVI-242, 1997-TEP-110, 2007-BIO-213]
2009-BIO-182->[2007-BIO-131, 2009-BIO-132, 2007-BIO-004]
2004-FQM-291->[2004-FQM-104, 2005-FQM-296, 2002-FQM-212]
2009-BIO-183->[ACC-384-HUM-2001, ACC-437-SEJ-2001, 2003-HUM-709]
EXP2961->[ACC-384-HUM-2001, ACPAI-2003-082, ACC-366-SEJ-2001]
ACC-479-FQM-2001->[ACPAI-2003-080, ACC-384-HUM-2001, ACC-357-SEJ-2001]
2008-SEJ-158->[2002-SEJ-189, 2011-SEJ-409, 2008-SEJ-336]
34-01->[2008-TIC-205, 2002-FQM-128, 2003-HUM-316]
2004-FQM-296->[ACC-467-SEJ-2001, 2000-FQM-107, 2000-FQM-177]
34-00->[1997-HUM-460, 2010-HUM-118, 2002-HUM-171]
1997-CTS-312->[1997-CTS-259, 1997-CTS-193, 2003-CTS-259]
2004-SEJ-432->[2010-SEJ-461, 2010-SEJ-298, 1997-SEJ-318]
SUBMD-003-2015->[2006-FQM-262, 2011-RNM-185, 2006-SEJ-132]
2004-SEJ-436->[2004-SEJ-217, 2010-SEJ-180, 2007-SEJ-128]
2000-HUM-301->[2007-HUM-340, 2005-HUM-376, 2006-HUM-631]
2000-HUM-304->[2004-HUM-249, 2007-HUM-111, 2010-HUM-177]
1997-CVI-252->[ACC-384-HUM-2001, 2003-CVI-113, 2004-CVI-120]
JC2008-00361->[2004-TEP-116, 2009-FQM-226, 2006-SEJ-353]
2000-HUM-303->[1997-HUM-371, 2011-HUM-465, 2003-HUM-685]
2005-CTS-439->[2003-CTS-908, 1997-CTS-272, 2008-CTS-410]
1997-CVI-255->[2000-CVI-236, 2005-CVI-284, 2003-HUM-371]
2008-SEJ-140->[2011-SEJ-480, 2010-SEJ-297, 2005-SEJ-115]
2009-BIO-198->[2010-BIO-182, 2007-HUM-401, 2010-BIO-107]
2008-SEJ-145->[2005-SEJ-298, 2011-SEJ-180, 2008-SEJ-489]
2009-HUM-851->[2004-HUM-107, 2009-HUM-327, 2011-HUM-337]
2009-HUM-853->[ACC2003-FQM-127, 2000-HUM-692, 1997-HUM-226]
2002-CTS-108->[2003-CTS-406, 1997-CTS-142, 2006-CTS-528]
2008-SEJ-149->[2002-SEJ-177, 2009-SEJ-339, 2004-SEJ-409]
1997-CTS-323->[2000-CTS-153, 2011-CTS-111, 2003-CTS-908]
2003-HUM-747->[ACC-384-HUM-2001, 2010-HUM-197, 2003-HUM-909]
2009-CTS-160->[ACPAI-2003-082, ACC-726-HUM-2002, 1997-CTS-407]
2002-CTS-113->[2006-CTS-432, 2000-CTS-140, 2011-SEJ-490]
2003-HUM-753->[2002-HUM-636, 2000-HUM-349, 2003-HUM-208]
2011-HUM-568->[2006-HUM-423, 2005-HUM-316, 2011-HUM-443]
2003-HUM-752->[2008-HUM-241, 2005-HUM-360, 2006-HUM-171]
2002-CTS-114->[2009-CTS-163, 2010-CTS-358, 2005-CTS-388]
SEJ2006-27929-E->[ACPAI-2003-080, 2008-CTS-259, 2011-HUM-384]
2009-CTS-163->[2003-CTS-439, 1997-CTS-149, 2003-CTS-210]
1997-CVI-242->[AC-TEP 113, 2005-CVI-135, 2003-CVI-281]
A-09-09->[ACPAI-2003-080, ACPAI-2003-057, ACC-722-HUM-2002]
